,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
fairmod_factorio_beacon,Beacon,Маяк,Transmissor,Faro,Effektverteiler,Diffuseur de modules,Faro,Radionadajnik,插件效果分享塔,ビーコン,신호기,,
fairmod_factorio_behemoth-biter-corpse,Behemoth biter corpse,Чудовищный кусака,Mordedor gigante,Mordedor mastodonte,Riesiger Beißer,Énorme déchiqueteur,Morditore gigante,Ogromny kąsacz,巨兽型撕咬虫,ベヒーモスバイター,베헤모스 바이터,,
fairmod_factorio_behemoth-biter,Behemoth biter,Труп чудовищного кусаки,Cadáver de mordedor gigante,Cadáver de mordedor mastodonte,Toter riesiger Beißer,Cadavre de déchiqueteur énorme,Cadavere di Morditore gigante,Zwłoki ogromnego kąsacza,巨兽型撕咬虫尸体,ベヒーモスバイターの死骸,베헤모스 바이터 시체,,
fairmod_factorio_behemoth-spitter-corpse,Behemoth spitter corpse,Чудовищный плевака,Cuspidor Gigante,Escupidor mastodonte,Riesiger Speier,Énorme cracheur,Sputatore gigante,Ogromny plujec,巨兽型喷吐虫,ベヒーモススピッター,베헤모스 스피터,,
fairmod_factorio_behemoth-spitter,Behemoth spitter,Труп чудовищного плеваки,Cadáver de Cuspidor Gigante,Cadáver de escupidor mastodonte,Toter riesiger Speier,Cadavre d'énorme cracheur,Cadavere di Sputatore gigante,Zwłoki ogromnego plujca,巨兽型喷吐虫尸体,ベヒーモススピッターの死骸,베헤모스 스피터 시체,,
fairmod_factorio_behemoth-worm-corpse-burrowed,Behemoth worm corpse burrowed,Труп чудовищного червя,Cadáver de verme gigante,Cadáver de gusano mastodonte,Toter riesiger Wurm,Cadavre de ver géant,Cadavere di worm Behemoth,Zwłoki ogromnego czerwia,巨兽型沙虫尸体,ベヒーモスワームの死骸,베헤모스 땅벌레 시체,,
fairmod_factorio_behemoth-worm-corpse,Behemoth worm corpse,Закопавшийся труп чудовищного червя,Cadáver de verme gigante enterrado,Cadáver enterrado de gusano mastodonte,Toter eingegrabener riesiger Wurm,Cadavre d'énorme ver enfoui,Cadavere di verme gigante sepolto,Zakopane zwłoki behemota,被埋的巨兽型沙虫尸体,地中に潜ったベヒーモスワームの死骸,잠복한 베헤모스 땅벌레 시체,,
fairmod_factorio_behemoth-worm-turret,Behemoth worm,Чудовищный червь,Verme Gigante,Gusano mastodonte,Riesiger Wurm,Ver géant,Worm Behemoth,Ogromny czerw,巨兽型沙虫,ベヒーモスワーム,베헤모스 땅벌레,,
fairmod_factorio_big-artillery-explosion,Big artillery explosion,Большой артиллерийский взрыв,Grande explosão de artilharia,Explosión grande de artillería,Große Explosion durch Artilleriegranate,Grande explosion d'artillerie,Grande esplosione d'Artiglieria,Wybuch artyleryjski,大型重炮爆炸,大きな長距離砲の爆発,큰 대포 폭발,,
fairmod_factorio_big-biter-corpse,Big biter corpse,Большой кусака,Mordedor grande,Mordedor grande,Großer Beißer,Gros déchiqueteur,Morditore grande,Duży kąsacz,大型撕咬虫,大型バイター,대형 바이터,,
fairmod_factorio_big-biter,Big biter,Труп большого кусаки,Cadáver de mordedor grande,Cadáver de mordedor grande,Toter großer Beißer,Cadavre de gros déchiqueteur,Cadavere di Morditore grande,Zwłoki dużego kąsacza,大型撕咬虫尸体,大型バイターの死骸,대형 바이터 시체,,
fairmod_factorio_big-electric-pole,Big electric pole,Большая опора ЛЭП,Poste grande,Poste eléctrico grande,Großer Strommast,Grand poteau électrique,Palo grande dell'elettricitá,Duży słup elektryczny,远程输电塔,大型電柱,대형 전신주,,
fairmod_factorio_big-explosion,Big explosion,Большой взрыв,Grande explosão,Gran explosión,Große Explosion,Grande explosion,Grande esplosione,Duży wybuch,大型爆炸,大爆発,큰 폭파,,
fairmod_factorio_big-remnants,Big remnants,Большие обломки,Restos grandes,Restos grandes,Große Überreste,Grands vestiges,Grandi detriti,Duże szczątki,大型残骸,大きな残骸,대형 잔해,,
fairmod_factorio_big-rock,Big rock,Большой камень,Rocha grande,Roca grande,Großer Felsen,Gros rocher,Roccia grande,Duża skała,大型岩石,大きな岩,큰 바위,,
fairmod_factorio_big-sand-rock,Big sand rock,Большой песчаный камень,Pedra de arenito grande,Roca de arenisca grande,Großer Sandfelsen,Gros rocher sableux,Roccia di sabbia grande,Duży piaskowiec,大型沙岩,大きな砂岩,큰 모래 바위,,
fairmod_factorio_big-scorchmark-tintable,Big tinted scorchmark,Большой кратер,Marca de explosão grande,Zona quemada grande,Große Brandspur,Grande marque de brûlure,Grande bruciatura,Duży ślad spalenizny,大型焦痕,大規模の焦げ跡,큰 폭발 흔적,,
fairmod_factorio_big-scorchmark,Big scorchmark,Большая окрашенная подпалина,Marca colorida de explosão grande,Zona quemada coloreada (grande),Große gefärbte Brandspur,Grande marque de brûlure,Grande bruciatura colorata,Duży jasny krater,大型着色焦痕,大規模の煤汚れた焦げ跡,커다란 그슬린 폭발 흔적,,
fairmod_factorio_big-spitter-corpse,Big spitter corpse,Большой плевака,Cuspidor grande,Escupidor grande,Großer Speier,Gros cracheur,Sputatore grande,Duży plujec,大型喷吐虫,大型スピッター,대형 스피터,,
fairmod_factorio_big-spitter,Big spitter,Труп большого плеваки,Cadáver de cuspidor grande,Cadáver de escupidor grande,Toter großer Speier,Cadavre de gros cracheur,Cadavere di Sputatore grande,Zwłoki dużego plujca,大型喷吐虫尸体,大型スピッターの死骸,대형 스피터 시체,,
fairmod_factorio_big-worm-corpse-burrowed,Big worm corpse burrowed,Труп большого червя,Cadáver de verme grande,Cadáver de gusano grande,Toter großer Wurm,Cadavre de gros ver,Cadavere di Verme grande,Zwłoki dużego czerwia,大型沙虫尸体,大型ワームの死骸,대형 땅벌레 시체,,
fairmod_factorio_big-worm-corpse,Big worm corpse,Закопавшийся труп большого червя,Cadáver de verme grande enterrado,Cadáver enterrado de gusano grande,Toter eingegrabener großer Wurm,Cadavre de grand ver enfoui,Cadavere di verme grande sepolto,Zakopane zwłoki dużego czerwa,被埋的大型沙虫尸体,地中に潜った大型ワームの死骸,잠복한 대형 땅벌레 시체,,
fairmod_factorio_big-worm-turret,Big worm,Большой червь,Verme grande,Gusano grande,Großer Wurm,Gros ver,Verme grande,Duży czerw,大型沙虫,大型ワーム,대형 땅벌레,,
fairmod_factorio_biter-spawner-corpse,Biter spawner corpse,Улей кусак,Ninho de Mordedores,Nido de mordedores,Beißernest,Nid de déchiqueteurs,Generatore di Morditori,Legowisko kąsaczy,撕咬虫巢,バイターの巣,바이터 산란장,,
fairmod_factorio_biter-spawner,Biter spawner,Остатки улья кусак,Restos de ninho de mordedores,Restos de nido de mordedores,Totes Beißernest,Cadavre de nid de déchiqueteurs,Resti del generatore di Morditori,Pozostałości legowiska kąsaczy,撕咬虫巢尸体,バイターの巣の残骸,바이터 산란장 시체,,
fairmod_factorio_blood-explosion-big,Blood explosion big,Взрыв крови большой,Grande explosão de sangue,Explosión grande de sangre,Große Blut-Explosion,Grande explosion de sang,Grande esplosione di sangue,Duży rozprysk krwi,大型血液爆炸,大きな血の爆発,큰 혈액 폭발,,
fairmod_factorio_blood-explosion-huge,Blood explosion huge,Взрыв крови огромный,Enorme explosão de sangue,Explosión enorme de sangre,Riesige Blut-Explosion,Énorme explosion de sang,Enorme esplosione di sangue,Wielki rozprysk krwi,巨型血液爆炸,巨大な血の爆発,거대한 혈액 폭발,,
fairmod_factorio_blood-explosion-small,Blood explosion small,Взрыв крови малый,Pequena explosão de sangue,Explosión pequeña de sangre,Kleine Blut-Explosion,Petite projection de sang,Piccola esplosione di sangue,Mały rozprysk krwi,小型血液爆炸,小さな血の爆発,작은 혈액 폭발,,
fairmod_factorio_blood-fountain-big,Blood fountain big,Фонтан крови,Fonte de sangue,Fuente de sangre,Blut-Fontäne,Fontaine de sang,Fontana di sangue,Fontanna krwi,血泉,血だまり,혈액 분출,,
fairmod_factorio_blood-fountain-hit-spray,Blood fountain hit spray,Большой фонтан крови,Grande fonte de sangue,Gran fuente de sangre,Große Blut-Fontäne,Grande fontaine de sang,Grande fontana di sangue,Duża fontanna krwi,大型血泉,大きな血だまり,큰 혈액 분출,,
fairmod_factorio_blood-fountain,Blood fountain,Фонтан крови от ранения,Spray de impacto da fonte de sangue,Salpicadura de sangre,Blutspritzer durch Treffer,Jet d'une fontaine de sang,Spruzzo di sangue a fontana,Rozprysk krwi,血泉喷溅,血しぶき,피해 시 혈액분출,,
fairmod_factorio_blue-chest,Blue chest,Синий сундук,Baú azul,Cofre Azul,Blaue Kiste,Coffre bleu,Cassa blu,Niebieska skrzynia,蓝箱,青チェスト,파란색 상자,,
fairmod_factorio_boiler,Boiler,Бойлер,Caldeira,Caldera,Heizkessel,Chaudière,Caldaia,Kocioł parowy,锅炉,ボイラー,보일러,,
fairmod_factorio_buffer-chest,Buffer chest,Буферный сундук,Baú buffer,Cofre de reserva,Pufferkiste,Coffre logistique tampon,Cassa buffer,Skrzynia buforowa,主动存货箱（绿箱）,バッファーチェスト,완충 상자,,
fairmod_factorio_bulk-inserter,Bulk inserter,Массовый манипулятор,Insersor de alto desempenho,Insertador de lotes,Massengreifarm,Bras robotisé haute capacité,Inseritore multiplo,Podajnik masowy,集装机械臂,バルクインサーター,대용량 투입기,,
fairmod_factorio_burner-generator,Burner generator,Твердотопливный генератор,Gerador a combustão,Generador a combustión,Befeuerter Generator,Générateur thermique,Generatore a combustione,Generator spalinowy,热能发电机,燃料式発電機,화력 발전기,,
fairmod_factorio_burner-inserter,Burner inserter,Твердотопливный манипулятор,Inseridor a combustão,Insertador a vapor,Befeuerter Greifarm,Bras robotisé thermique,Inseritore a combustibile,Podajnik spalinowy,热能机械臂,燃料式インサーター,화력 투입기,,
fairmod_factorio_burner-mining-drill,Burner mining drill,Твердотопливный бур,Mineradora a combustão,Perforadora a vapor,Befeuerter Erzförderer,Foreuse thermique,Trivella a combustibile,Spalinowa wiertnica górnicza,热能采矿机,燃料式掘削機,화력 채광 드릴,,
fairmod_factorio_car,Car,Автомобиль,Carro,Coche,Auto,Voiture,Macchina,Samochód,汽车,自動車,자동차,,
fairmod_factorio_cargo-landing-pad-remnants,Cargo landing pad remnants,Грузовая посадочная площадка,Base de pouso orbital,Plataforma de aterrizaje,Frachtlandeplatz,Aire d'atterrissage cargo,Piattaforma d'atterraggio per carichi,Lądowisko towarowe,物流接驳站,カーゴ降着パッド,화물 착륙 패드,,
fairmod_factorio_cargo-landing-pad,Cargo landing pad,Обломки грузовой посадочной площадки,Restos de base de pouso orbital,Restos de la plataforma de aterrizaje,Überreste eines Frachtlandeplatzes,Vestige d'aire d'atterrissage cargo,Detriti del sistema di atterraggio,Szczątki lądowiska towarowego,物流接驳站残骸,カーゴ降着パッドの残骸,화물 착륙 패드 잔해,,
fairmod_factorio_cargo-pod-container,Landed cargo pod,Грузовая капсула,Cápsula de carga,Cápsula de carga,Frachtkapsel,Capsule de transport,Capsula di carico,Kontener towarowy,货舱,カーゴポッド,화물 포드,,
fairmod_factorio_cargo-pod,Cargo pod,Приземлившаяся грузовая капсула,Cápsula de carga em solo,Cápsula de carga posada en el suelo,Gelandete Frachtkapsel,Capsule de transport posée,Capsula di carico atterrata,Przyziemiony lądownik towarowy,着陆货舱,降着したカーゴポッド,착륙한 화물 포드,,
fairmod_factorio_cargo-wagon,Cargo wagon,Грузовой вагон,Vagão de carga,Vagón de carga,Güterwaggon,Wagon de marchandises,Vagone merci,Wagon towarowy,货运车厢,貨物車両,화물차,,
fairmod_factorio_centrifuge,Centrifuge,Центрифуга,Centrífuga,Centrifugadora,Zentrifuge,Centrifugeuse,Centrifuga,Wirówka,离心机,遠心分離機,원심 분리기,,
fairmod_factorio_character-corpse,Character corpse,Персонаж,Personagem,Personaje,Spielfigur,Personnage,Personaggio,Postać,玩家,キャラクター,캐릭터,,
fairmod_factorio_character,Character,Труп персонажа,Cadáver do personagem,Cadáver del personaje,Leiche einer Spielfigur,Cadavre de joueur,Cadavere di un giocatore,Zwłoki postaci,玩家尸体,プレイヤーの死体,캐릭터 시체,,
fairmod_factorio_chemical-plant,Chemical plant,Химический завод,Usina química,Planta química,Chemiefabrik,Usine de produits chimiques,Impianto chimico,Zakład chemiczny,化工厂,化学プラント,화학 공장,,
fairmod_factorio_cliff,Cliff,Скала,Penhasco,Acantilado,Klippe,Falaise,Dirupo,Urwisko,悬崖,崖,절벽,,
fairmod_factorio_coal,Coal,Уголь,Carvão,Carbón,Kohle,Charbon,Carbone,Węgiel,煤矿,石炭,석탄,,
fairmod_factorio_constant-combinator,Constant combinator,Постоянный комбинатор,Combinador constante,Combinador constante,Kombinator für Konstanten,Émetteur de constante,Combinatore di costanti,Sterownik stałych,常量运算器,定数回路,일정 신호 조합기,,
fairmod_factorio_construction-robot,Construction robot,Строительный дрон,Robô construtor,Robot de construcción,Bauroboter,Robot de construction,Robot costruttore,Robot konstrukcyjny,建设机器人,建設ロボット,건설 로봇,,
fairmod_factorio_copper-ore,Copper ore,Медная руда,Minério de cobre,Mineral de cobre,Kupfererz,Minerai de cuivre,Rame grezzo,Ruda miedzi,铜矿,銅鉱石,구리 광석,,
fairmod_factorio_crash-site-chest-1,Chest capsule,Капсула,Cápsula de baú,Cápsula de almacenamiento,Frachtkapsel,Capsule,Container a capsula,Kontener ze statku,货舱,チェストカプセル,상자 캡슐,,
fairmod_factorio_crash-site-chest-2,Chest capsule,Капсула,Cápsula de baú,Cápsula de almacenamiento,Frachtkapsel,Capsule,Container a capsula,Kontener ze statku,货舱,チェストカプセル,상자 캡슐,,
fairmod_factorio_crash-site-fire-flame,Crash site fire flame,Пламя упавшего корабля,Colisão de fogo no local,Llamarada del lugar del accidente,Flamme an der Absturzstelle,Flammes du site du crash,Fiamma dell'incendio del sito dello schianto,Ogień w miejscu katastrofy,坠机点火焰,墜落地点の炎,추락 지점 불꽃,,
fairmod_factorio_crash-site-spaceship-wreck-big,Spaceship Wreck Big,Космический корабль,Nave Espacial,Nave espacial estrellada,Raumschiff,Vaisseau spatial,Astronave,Wrak statku kosmicznego,飞船,宇宙船,우주선,,
fairmod_factorio_crash-site-spaceship-wreck-medium,Spaceship Wreck Medium,Большие обломки космического корабля,Grandes destroços de Nave Espacial,Escombro grande de nave espacial,Großes Schiffswrack,Gros débris du vaisseau spatial,Enorme relitto di astronave,Duży fragment statku kosmicznego,大型飞船残骸,宇宙船の残骸 (大),대형 우주선 잔해,,
fairmod_factorio_crash-site-spaceship-wreck-small,Spaceship Wreck Small,Средние обломки космического корабля,Destroços médios de Nave Espacial,Escombro mediano de nave espacial,Mittelgroßes Schiffswrack,Débris du vaisseau spatial,Relitto di astronave medio,Średni fragment statku kosmicznego,中型飞船残骸,宇宙船の残骸 (中),중형 우주선 잔해,,
fairmod_factorio_crash-site-spaceship,Spaceship,Малые обломки космического корабля,Pequenos destroços de Nave Espacial,Escombro pequeño de nave espacial,Kleines Schiffswrack,Petit débris du vaisseau spatial,Relitto di astronave piccolo,Mały fragment statku kosmicznego,小型飞船残骸,宇宙船の残骸 (小),소형 우주선 잔해,,
fairmod_factorio_crude-oil,Crude oil,Сырая нефть,Petróleo,Petróleo crudo,Rohöl,Pétrole brut,Greggio,Ropa naftowa,原油,原油,원유,,
fairmod_factorio_curved-rail-a,Curved rail,Изогнутые рельсы,Trilho curvo,Vía curva,Gebogenes Gleis,Rail courbé,Rotaia curva,Zakrzywiony tor,曲线铁轨,曲線レール,곡선 철도,,
fairmod_factorio_curved-rail-b,Curved rail,Изогнутые рельсы,Trilho curvo,Vía curva,Gebogenes Gleis,Rail courbé,Rotaia curva,Zakrzywiony tor,曲线铁轨,曲線レール,곡선 철도,,
fairmod_factorio_dead-dry-hairy-tree,Dead dry hairy tree,Мёртвое сухое раскидистое дерево,Árvore peluda seca morta,Árbol musgoso seco muerto,Toter vertrockneter borstiger Baum,Arbre touffu desséché mort,Albero massiccio secco morto,Martwe suche rozgałęzione drzewo,死枯枝树,枯れ木,말라죽은 무성한 나무,,
fairmod_factorio_dead-grey-trunk,Dead grey trunk,Мёртвый серый ствол,Tronco cinza morto,Tronco gris muerto,Toter grauer Baumstamm,Tronc gris mort,Tronco grigio morto,Szary martwy pień,灰色枯树干,ゴツゴツとした枯れ木,죽은 회색 나무통,,
fairmod_factorio_dead-tree-desert,Dead tree - desert,Мёртвое дерево - пустыня,Árvore morta - deserto,Árbol desértico muerto,Toter Wüstenbaum,Arbre mort - désert,Albero morto - deserto,Martwe drzewo - pustynia,荒漠枯树,枯れ木 - 砂漠,죽은 나무 - 사막,,
fairmod_factorio_decider-combinator,Decider combinator,Сравнивающий комбинатор,Combinador de decisão,Combinador comparador,Kombinator für Vergleiche,Comparateur,Combinatore decisionale,Sterownik decyzyjny,判断运算器,条件回路,수량 비교 조합기,,
fairmod_factorio_deconstructible-tile-proxy,Deconstructible tile proxy,Разрушаемая клетка,Proxy de Célula Desconstruível,Proxy deconstructor de baldosas,Kachel-Abriss-Markierung,Proxy de déconstruction de sol,Entità proxy eliminabile,Znacznik terenu możliwego do rozbiórki,替代地貌,破壊可能タイル代替品,해체 가능한 타일 프록시,,
fairmod_factorio_defender,Defender,Дрон-защитник,Defensor,Defensor,Verteidiger,Robot de défense,Difensore,Robot obronny,防御无人机,ディフェンダー,방어 로봇,,
fairmod_factorio_destroyer,Destroyer,Дрон-разрушитель,Destruidor,Destructor,Zerstörer,Destructeur,Distruttore,Robot niszczący,进攻无人机,デストロイヤー,파괴 로봇,,
fairmod_factorio_display-panel,Display panel,Дисплей,Painel de Exibição,Panel de visualización,Anzeigefeld,Panneaux d'affichage,Pannello di visualizzazione,Wyświetlacz,显示器,ディスプレイパネル,디스플레이 패널,,
fairmod_factorio_distractor,Distractor,Дрон-приманка,Distrator,Distractor,Ablenker,Distracteur,Distrattore,Robot prowokujący,掩护无人机,ディストラクター,견제 로봇,,
fairmod_factorio_dry-hairy-tree,Dry hairy tree,Сухое раскидистое дерево,Árvore peluda seca,Árbol musgoso seco,Vertrockneter borstiger Baum,Arbre touffu desséché,Albero massiccio secco,Suche rozgałęzione drzewo,枯枝树,背の高い枯れ木,마른 우거진 나무,,
fairmod_factorio_dry-tree,Dry tree,Сухое дерево,Árvore seca,Árbol seco,Vertrockneter Baum,Arbre desséché,Albero secco,Uschnięte drzewo,枯树,枯れ木,마른 나무,,
fairmod_factorio_electric-energy-interface,Electric energy interface,Интерфейс электроэнергии,Interface de energia elétrica,Interfaz de energía eléctrica,Schnittstelle für elektrischen Strom,Interface de l’énergie électrique,Interfaccia dell'energia elettrica,Interfejs energetyczny,电力接口,電力インターフェイス,전기 에너지 인터페이스,,
fairmod_factorio_electric-furnace,Electric furnace,Электрическая печь,Fornalha elétrica,Horno eléctrico,Lichtbogenofen,Four électrique,Fornace elettrica,Piec elektryczny,电炉,電気炉,전기 용광로,,
fairmod_factorio_electric-mining-drill,Electric mining drill,Электрический бур,Mineradora elétrica,Perforadora eléctrica,Elektrischer Erzförderer,Foreuse électrique,Trivella elettrica,Elektryczna wiertnica górnicza,电力采矿机,電動掘削機,전기 채광 드릴,,
fairmod_factorio_enemy-damaged-explosion,Enemy damaged explosion,Эффект повреждения врага,Explosão inimiga danificada,Explosión al dañar a un enemigo,Beschädigende Explosion an einem Feind,Explosion causant des dégâts à un ennemi,Nemico danneggiato da un'esplosione,Eksplozja niszcząca wroga,敌方受损爆炸,ダメージを受けた敵の爆発,손상된 적 폭발,,
fairmod_factorio_entity-ghost,Entity ghost,План объекта,Entidade fantasma,Fantasma de entidad,Objekt-Geist,Fantôme d'une entité,Entità fantasma,Projekcja obiektu,实体虚影,エンティティゴースト,고스트 상태의 개체,,
fairmod_factorio_explosion-hit,Explosion hit,Взрыв,Explosão,Explosión,Explosion,Explosion,Esplosione,Wybuch,爆炸,爆発,폭발,,
fairmod_factorio_explosion,Explosion,Удар от взрыва,Dano de explosão,Golpe explosivo,Explosionstreffer,Impact de l'explosion,Esplosione del colpo,Postrzał,爆炸冲击,爆発跡,폭파 명중,,
fairmod_factorio_express-loader,Express loader,Экспресс-погрузчик,Carregador expresso,Cargador exprés,Express-Belader,Chargeur express,Caricatore ultraveloce,Ekspresowa ładowarka,极速装卸机,超高速ローダー,고속 적재기,,
fairmod_factorio_express-splitter,Express splitter,Экспресс-разделитель,Separador expresso,Divisor exprés,Express-Teilerfließband,Répartiteur express,Ripartitore ultraveloce,Ekspresowy rozdzielacz,极速分流器,超高速分配器,고속 분배기,,
fairmod_factorio_express-transport-belt,Express transport belt,Экспресс-конвейер,Esteira expressa,Cinta transportadora exprés,Express-Fließband,Convoyeur express,Rullo di trasporto ultraveloce,Ekspresowy taśmociąg,极速传送带,超高速搬送ベルト,고속 운송 벨트,,
fairmod_factorio_express-underground-belt,Express underground belt,Подземный экспресс-конвейер,Esteira subterrânea expressa,Cinta transportadora subterránea exprés,Unterirdisches Express-Fließband,Convoyeur souterrain express,Rullo sotterraneo ultraveloce,Ekspresowy podziemny taśmociąg,极速地下传送带,超高速地下搬送ベルト,고속 지하 벨트,,
fairmod_factorio_factorio-logo-11tiles,Factorio logo 11 tiles,Логотип Factorio 11 клеток,Logo do Factorio 11 blocos,Logotipo Factorio 11 casillas,Factorio-Logo (11 Kacheln),Logo Factorio 11 tuiles,Logo di Factorio 11 caselle,Logo Factorio na 11 pól,Factorio徽标11格,Factorioロゴ11タイル,11타일 팩토리오 로고,,
fairmod_factorio_factorio-logo-16tiles,Factorio logo 16 tiles,Логотип Factorio 16 клеток,Logo do Factorio 16 blocos,Logotipo Factorio 16 casillas,Factorio-Logo (16 Kacheln),Logo Factorio 16 tuiles,Logo di Factorio 16 caselle,Logo Factorio na 16 pól,Factorio徽标16格,Factorioロゴ16タイル,16타일 팩토리오 로고,,
fairmod_factorio_factorio-logo-22tiles,Factorio logo 22 tiles,Логотип Factorio 22 клетки,Logo do Factorio 22 blocos,Logotipo Factorio 22 casillas,Factorio-Logo (22 Kacheln),Logo Factorio 22 tuiles,Logo di Factorio 22 caselle,Logo Factorio na 22 pola,Factorio徽标22格,Factorioロゴ22タイル,22타일 팩토리오 로고,,
fairmod_factorio_fast-inserter,Fast inserter,Быстрый манипулятор,Insersor rápido,Insertador rápido,Schneller Greifarm,Bras robotisé rapide,Inseritore veloce,Szybki podajnik,高速机械臂,高速インサーター,빠른 투입기,,
fairmod_factorio_fast-loader,Fast loader,Быстрый погрузчик,Carregador rápido,Cargador rápido,Schneller Belader,Chargeur rapide,Caricatore veloce,Szybka ładowarka,高速装卸机,高速ローダー,빠른 적재기,,
fairmod_factorio_fast-splitter,Fast splitter,Быстрый разделитель,Separador rápido,Divisor rápido,Schnelles Teilerfließband,Répartiteur rapide,Ripartitore veloce,Szybki rozdzielacz,高速分流器,高速分配器,빠른 분배기,,
fairmod_factorio_fast-transport-belt,Fast transport belt,Быстрый конвейер,Esteira rápida,Cinta transportadora rápida,Schnelles Fließband,Convoyeur rapide,Rullo di trasporto veloce,Szybki taśmociąg,高速传送带,高速搬送ベルト,빠른 운송 벨트,,
fairmod_factorio_fast-underground-belt,Fast underground belt,Быстрый подземный конвейер,Esteira subterrânea rápida,Cinta transportadora subterránea rápida,Schnelles unterirdisches Fließband,Convoyeur souterrain rapide,Rullo sotterraneo veloce,Szybki podziemny taśmociąg,高速地下传送带,高速地下搬送ベルト,빠른 지하 벨트,,
fairmod_factorio_fire-flame,Fire,Огонь,Fogo,Fuego,Feuer,Feu,Fiamma,Płomienie,火焰,火,화염,,
fairmod_factorio_fish,Fish,Рыба,Peixe,Pez,Fisch,Poisson,Pesce,Ryba,鱼,魚,물고기,,
fairmod_factorio_flamethrower-turret,Flamethrower turret,Огнемётная турель,Torre lança-chamas,Torreta Lanzallamas,Flammenwerfer-Geschützturm,Tourelle lance-flammes,Torretta lanciafiamme,Działo ogniowe,火焰炮塔,火炎放射タレット,화염 방사 포탑,,
fairmod_factorio_fluid-wagon,Fluid wagon,Вагон-цистерна,Vagão de fluido,Vagón cisterna,Tankwaggon,Wagon-citerne,Vagone cisterna,Cysterna kolejowa,液罐车厢,タンク貨車,유체 화물차,,
fairmod_factorio_flying-robot-damaged-explosion,Flying robot damaged explosion,Эффект повреждения летящего дрона,Explosão de robôs voadores danificada,Explosión al dañar un robot volador,Beschädigende Explosion an einem fliegenden Roboter,Explosion d'un robot volant endommagé,Drone volante danneggiato da un'esplosione,Eksplozja niszcząca latającego robota,飞行机器人受损爆炸,飛行ロボットが損傷し爆発しました,비행로봇 피해 효과,,
fairmod_factorio_gate,Gate,Ворота,Portão,Puerta,Tor,Porte,Cancello,Brama,闸门,ゲート,출입구,,
fairmod_factorio_green-coral,Green coral,Зелёный коралл,Coral verde,Coral verde,Grüne Koralle,Corail vert,Corallo verde,Zielony suchorost,绿色珊瑚,緑の珊瑚,녹색 산호,,
fairmod_factorio_grenade-explosion,Grenade explosion,Взрыв гранаты,Explosão de granadas,Explosión de granada,Explosion durch Granate,Explosion de grenade,Esplosione di una granata,Wybuch granatu,手雷爆炸,グレネードの爆発,수류탄 폭파,,
fairmod_factorio_ground-explosion,Ground explosion,Взрыв на поверхности,Explosão no solo,Explosión terrestre,Bodenexplosion,Explosion terrestre,Esplosione a terra,Ziemisty wybuch,地面爆炸,地面の爆発,지대 폭파,,
